id,earnings,tournament,date
3702, 122720,WM Phoenix Open,2026-02-08
4791222, 122720,WM Phoenix Open,2026-02-08
8974, 122720,WM Phoenix Open,2026-02-08
8961, 122720,WM Phoenix Open,2026-02-08
10980, 122720,WM Phoenix Open,2026-02-08
11385,  82320,WM Phoenix Open,2026-02-08
10364,  82320,WM Phoenix Open,2026-02-08
4251,  82320,WM Phoenix Open,2026-02-08
11253,  82320,WM Phoenix Open,2026-02-08
3792,  62949,WM Phoenix Open,2026-02-08
5408,  62949,WM Phoenix Open,2026-02-08
5075652,  62949,WM Phoenix Open,2026-02-08
4404992,  62949,WM Phoenix Open,2026-02-08
6931,  62949,WM Phoenix Open,2026-02-08
6937,  62949,WM Phoenix Open,2026-02-08
4410932,  62949,WM Phoenix Open,2026-02-08
10505,  46800,WM Phoenix Open,2026-02-08
4602673,  46800,WM Phoenix Open,2026-02-08
11119,  46800,WM Phoenix Open,2026-02-08
9484,  46800,WM Phoenix Open,2026-02-08
4426181,  46800,WM Phoenix Open,2026-02-08
4671,  46800,WM Phoenix Open,2026-02-08
10140,  34080,WM Phoenix Open,2026-02-08
4348470,  34080,WM Phoenix Open,2026-02-08
4585548,  34080,WM Phoenix Open,2026-02-08
5217048,  34080,WM Phoenix Open,2026-02-08
8906,  34080,WM Phoenix Open,2026-02-08
4425906,  34080,WM Phoenix Open,2026-02-08
4858859,  34080,WM Phoenix Open,2026-02-08
4877953,  24608,WM Phoenix Open,2026-02-08
10057,  24608,WM Phoenix Open,2026-02-08
11395,  24608,WM Phoenix Open,2026-02-08
10030,  24608,WM Phoenix Open,2026-02-08
11383,  24608,WM Phoenix Open,2026-02-08
4921329,  24608,WM Phoenix Open,2026-02-08
10592,  22272,WM Phoenix Open,2026-02-08
5075548,  22272,WM Phoenix Open,2026-02-08
4868733,  22272,WM Phoenix Open,2026-02-08
4698579,  22272,WM Phoenix Open,2026-02-08
5143175,  22272,WM Phoenix Open,2026-02-08
9525,  22272,WM Phoenix Open,2026-02-08
6962,  21312,WM Phoenix Open,2026-02-08
4410612,  21312,WM Phoenix Open,2026-02-08
4361934,  21312,WM Phoenix Open,2026-02-08
6825,  21312,WM Phoenix Open,2026-02-08
3550,  20736,WM Phoenix Open,2026-02-08
4602218,  20736,WM Phoenix Open,2026-02-08
8973,  20352,WM Phoenix Open,2026-02-08
4587989,  20352,WM Phoenix Open,2026-02-08
5209442,  19872,WM Phoenix Open,2026-02-08
11387,  19872,WM Phoenix Open,2026-02-08
5338,  19872,WM Phoenix Open,2026-02-08
4699418,  19488,WM Phoenix Open,2026-02-08
3980,  19296,WM Phoenix Open,2026-02-08
10863,  19104,WM Phoenix Open,2026-02-08
5140,      0,WM Phoenix Open,2026-02-08
6196,      0,WM Phoenix Open,2026-02-08
11101,      0,WM Phoenix Open,2026-02-08
5882,      0,WM Phoenix Open,2026-02-08
5076011,      0,WM Phoenix Open,2026-02-08
5147097,      0,WM Phoenix Open,2026-02-08
5692,      0,WM Phoenix Open,2026-02-08
4408315,      0,WM Phoenix Open,2026-02-08
9243,      0,WM Phoenix Open,2026-02-08
3683,      0,WM Phoenix Open,2026-02-08
9143,      0,WM Phoenix Open,2026-02-08
3449,      0,WM Phoenix Open,2026-02-08
11393,      0,WM Phoenix Open,2026-02-08
6798,      0,WM Phoenix Open,2026-02-08
4901368,      0,WM Phoenix Open,2026-02-08
4425898,      0,WM Phoenix Open,2026-02-08
1407,      0,WM Phoenix Open,2026-02-08
9126,      0,WM Phoenix Open,2026-02-08
9364,      0,WM Phoenix Open,2026-02-08
4408318,      0,WM Phoenix Open,2026-02-08
6086,      0,WM Phoenix Open,2026-02-08
1651,      0,WM Phoenix Open,2026-02-08
4618114,      0,WM Phoenix Open,2026-02-08
10596,      0,WM Phoenix Open,2026-02-08
205,      0,WM Phoenix Open,2026-02-08
7120,      0,WM Phoenix Open,2026-02-08
2230,      0,WM Phoenix Open,2026-02-08
9221,      0,WM Phoenix Open,2026-02-08
5467,      0,WM Phoenix Open,2026-02-08
4566443,      0,WM Phoenix Open,2026-02-08
4375977,      0,WM Phoenix Open,2026-02-08
2283,      0,WM Phoenix Open,2026-02-08
5113338,      0,WM Phoenix Open,2026-02-08
4408316,      0,WM Phoenix Open,2026-02-08
4585549,      0,WM Phoenix Open,2026-02-08
11056,      0,WM Phoenix Open,2026-02-08
1225,      0,WM Phoenix Open,2026-02-08
5080439,      0,WM Phoenix Open,2026-02-08
4589438,      0,WM Phoenix Open,2026-02-08
9938,      0,WM Phoenix Open,2026-02-08
1614,      0,WM Phoenix Open,2026-02-08
11332,      0,WM Phoenix Open,2026-02-08
10058,      0,WM Phoenix Open,2026-02-08
10372,      0,WM Phoenix Open,2026-02-08
4358081,      0,WM Phoenix Open,2026-02-08
4408319,      0,WM Phoenix Open,2026-02-08
10522,      0,WM Phoenix Open,2026-02-08
5076025,      0,WM Phoenix Open,2026-02-08
5334158,      0,WM Phoenix Open,2026-02-08
5113335,      0,WM Phoenix Open,2026-02-08
10592,3600000,AT&T Pebble Beach Pro-Am,2026-02-15
4410932,1760000,AT&T Pebble Beach Pro-Am,2026-02-15
8961,1760000,AT&T Pebble Beach Pro-Am,2026-02-15
9478, 877500,AT&T Pebble Beach Pro-Am,2026-02-15
5539, 877500,AT&T Pebble Beach Pro-Am,2026-02-15
9938, 690000,AT&T Pebble Beach Pro-Am,2026-02-15
4419142, 690000,AT&T Pebble Beach Pro-Am,2026-02-15
4408316, 515000,AT&T Pebble Beach Pro-Am,2026-02-15
4587, 515000,AT&T Pebble Beach Pro-Am,2026-02-15
4858572, 515000,AT&T Pebble Beach Pro-Am,2026-02-15
5860, 515000,AT&T Pebble Beach Pro-Am,2026-02-15
5054388, 515000,AT&T Pebble Beach Pro-Am,2026-02-15
9843, 515000,AT&T Pebble Beach Pro-Am,2026-02-15
3470, 342750,AT&T Pebble Beach Pro-Am,2026-02-15
6007, 342750,AT&T Pebble Beach Pro-Am,2026-02-15
9037, 342750,AT&T Pebble Beach Pro-Am,2026-02-15
6086, 342750,AT&T Pebble Beach Pro-Am,2026-02-15
2230, 292000,AT&T Pebble Beach Pro-Am,2026-02-15
9484, 235000,AT&T Pebble Beach Pro-Am,2026-02-15
5409, 235000,AT&T Pebble Beach Pro-Am,2026-02-15
1225, 235000,AT&T Pebble Beach Pro-Am,2026-02-15
10140, 235000,AT&T Pebble Beach Pro-Am,2026-02-15
3702, 235000,AT&T Pebble Beach Pro-Am,2026-02-15
4589438, 162000,AT&T Pebble Beach Pro-Am,2026-02-15
1680, 162000,AT&T Pebble Beach Pro-Am,2026-02-15
4251, 162000,AT&T Pebble Beach Pro-Am,2026-02-15
5408, 162000,AT&T Pebble Beach Pro-Am,2026-02-15
3792, 162000,AT&T Pebble Beach Pro-Am,2026-02-15
11383, 125200,AT&T Pebble Beach Pro-Am,2026-02-15
4513, 125200,AT&T Pebble Beach Pro-Am,2026-02-15
3832, 125200,AT&T Pebble Beach Pro-Am,2026-02-15
5467, 125200,AT&T Pebble Beach Pro-Am,2026-02-15
9530, 125200,AT&T Pebble Beach Pro-Am,2026-02-15
9658, 104000,AT&T Pebble Beach Pro-Am,2026-02-15
6931, 104000,AT&T Pebble Beach Pro-Am,2026-02-15
4585548, 104000,AT&T Pebble Beach Pro-Am,2026-02-15
4375972,  78375,AT&T Pebble Beach Pro-Am,2026-02-15
569,  78375,AT&T Pebble Beach Pro-Am,2026-02-15
