team,short,abbreviation,nickname,school,z
USC Trojans,USC,USC,Trojans,USC,USC
UT Arlington Mavericks,UT Arlington,UTA,Mavericks,UT Arlington,UT Arlington
UT Martin Skyhawks,UT Martin,UTM,Skyhawks,UT Martin,TN Martin
UT Rio Grande Valley Vaqueros,UT Rio Grande,RGV,Vaqueros,UT Rio Grande Valley,TX Pan American
Utah State Aggies,Utah State,USU,Aggies,Utah State,Utah St
Utah Utes,Utah,UTAH,Utes,Utah,Utah
Utah Valley Wolverines,Utah Valley,UVU,Wolverines,Utah Valley,Utah Valley
UTEP Miners,UTEP,UTEP,Miners,UTEP,UTEP
UTSA Roadrunners,UTSA,UTSA,Roadrunners,UTSA,UT San Antonio
Valparaiso Beacons,Valparaiso,VAL,Beacons,Valparaiso,Valparaiso
Vanderbilt Commodores,Vanderbilt,VAN,Commodores,Vanderbilt,Vanderbilt
VCU Rams,VCU,VCU,Rams,VCU,VA Commonwealth
Vermont Catamounts,Vermont,UVM,Catamounts,Vermont,Vermont
Villanova Wildcats,Villanova,VILL,Wildcats,Villanova,Villanova
Virginia Cavaliers,Virginia,UVA,Cavaliers,Virginia,Virginia
Virginia Tech Hokies,Virginia Tech,VT,Hokies,Virginia Tech,Virginia Tech
VMI Keydets,VMI,VMI,Keydets,VMI,VMI
Wagner Seahawks,Wagner,WAG,Seahawks,Wagner,Wagner
Wake Forest Demon Deacons,Wake Forest,WAKE,Demon Deacons,Wake Forest,Wake Forest
Washington Huskies,Washington,WASH,Huskies,Washington,Washington
Washington State Cougars,Washington St,WSU,Cougars,Washington State,Washington St
Weber State Wildcats,Weber St,WEB,Wildcats,Weber State,Weber St
West Virginia Mountaineers,West Virginia,WVU,Mountaineers,West Virginia,West Virginia
Western Carolina Catamounts,W Carolina,WCU,Catamounts,Western Carolina,W Carolina
Western Illinois Leathernecks,W Illinois,WIU,Leathernecks,Western Illinois,W Illinois
Western Kentucky Hilltoppers,Western KY,WKU,Hilltoppers,Western Kentucky,WKU
Western Michigan Broncos,W Michigan,WMU,Broncos,Western Michigan,W Michigan
Wichita State Shockers,Wichita St,WICH,Shockers,Wichita State,Wichita St
William & Mary Tribe,William & Mary,W&M,Tribe,William & Mary,William & Mary
Winthrop Eagles,Winthrop,WIN,Eagles,Winthrop,Winthrop
Wisconsin Badgers,Wisconsin,WIS,Badgers,Wisconsin,Wisconsin
Wofford Terriers,Wofford,WOF,Terriers,Wofford,Wofford
Wright State Raiders,Wright St,WRST,Raiders,Wright State,Wright St
Wyoming Cowboys,Wyoming,WYO,Cowboys,Wyoming,Wyoming
Xavier Musketeers,Xavier,XAV,Musketeers,Xavier,Xavier
Yale Bulldogs,Yale,YALE,Bulldogs,Yale,Yale
Youngstown State Penguins,Youngstown St,YSU,Penguins,Youngstown State,Youngstown
