name|city|lat|long|avgPrice
Country Inn & Suites by Radisson, Fresno North, CA|Fresno, CA|36.82436|-119.78391| 142.75000
La Quinta Inn & Suites by Wyndham Fresno Riverpark|Fresno, CA|36.83954|-119.78320| 129.75000
Reno Suites|Reno, NV|39.51400|-119.78292|  79.20000
La Quinta Inn by Wyndham Reno|Reno, NV|39.50990|-119.78200| 103.00000
Best Western Plus Fresno Inn|Fresno, CA|36.80922|-119.78024| 140.25000
SpringHill Suites by Marriott Fresno|Fresno, CA|36.83649|-119.77812| 167.50000
Vagabond Inn Fresno|Fresno, CA|36.70793|-119.77336|  75.00000
Days Inn by Wyndham Fresno South|Fresno, CA|36.70552|-119.77115|  85.25000
Hyatt Place Santa Barbara|Santa Barbara, CA|34.44018|-119.76014| 229.00000
University Square Hotel|Fresno, CA|36.80734|-119.75501|  75.25000
Best Western Plus Pepper Tree Inn|Santa Barbara, CA|34.44077|-119.74872| 170.00000
Rose Garden Inn|Santa Barbara, CA|34.44012|-119.74197| 158.00000
University Inn|Fresno, CA|36.80785|-119.73950|  86.25000
Sandpiper Lodge|Santa Barbara, CA|34.43971|-119.73923| 150.00000
Motel 6 Santa Barbara, CA - State Street|Santa Barbara, CA|34.43997|-119.73898| 124.00000
Sunset Motel|Santa Barbara, CA|34.44072|-119.73850| 101.00000
Oasis Inn & Suites|Santa Barbara, CA|34.44075|-119.73644| 118.00000
Agave Inn|Santa Barbara, CA|34.44078|-119.73311| 157.00000
Quality Inn Santa Barbara|Santa Barbara, CA|34.43982|-119.73059| 107.00000
Lemon Tree Inn|Santa Barbara, CA|34.43827|-119.72512| 147.00000
Quality Inn Fresno Yosemite Airport|Fresno, CA|36.76575|-119.72184|  99.00000
Orange Tree Inn|Santa Barbara, CA|34.43052|-119.71360| 113.00000
Simpson House Inn|Santa Barbara, CA|34.42902|-119.70805| 433.00000
La Quinta Inn & Suites by Wyndham Clovis CA|Fresno, CA|36.81285|-119.70092| 129.00000
Comfort Suites|Fresno, CA|36.82856|-119.70028| 138.00000
Hotel Santa Barbara|Santa Barbara, CA|34.41738|-119.69677| 352.00000
Avania Inn of Santa Barbara|Santa Barbara, CA|34.40976|-119.69564| 180.00000
Castillo Inn at the Beach|Santa Barbara, CA|34.40886|-119.69424| 165.00000
Casa Del Mar Inn|Santa Barbara, CA|34.40963|-119.69318| 176.00000
Harbor View Inn|Santa Barbara, CA|34.41253|-119.69011| 351.00000
Courtyard by Marriott Fresno Clovis|Fresno, CA|36.80804|-119.68949| 156.50000
Malibu Country Inn|Malibu, CA|34.01664|-118.81607| 179.00000
Homewood Suites by Hilton Agoura Hills|Malibu, CA|34.14621|-118.75561| 193.00000
The Surfrider Malibu|Malibu, CA|34.03711|-118.67796| 459.00000
Loews Santa Monica Beach Hotel|Los Angeles, CA|34.00910|-118.49315| 465.00000
Shutters on the Beach|Los Angeles, CA|34.00706|-118.49172| 939.00000
Comfort Inn Santa Monica - West Los Angeles|Los Angeles, CA|34.03532|-118.47241| 185.00000
Luxe Sunset Boulevard Hotel|Los Angeles, CA|34.07261|-118.46901| 370.00000
Budget Inn|Los Angeles, CA|34.23721|-118.46827|  94.00000
Hotel Angeleno|Los Angeles, CA|34.07374|-118.46820| 204.00000
The Ritz-Carlton, Marina del Rey|Los Angeles, CA|33.98430|-118.45116| 449.00000
Royal Palace Westwood|Los Angeles, CA|34.06060|-118.44287| 222.00000
W Los Angeles - West Beverly Hills|Los Angeles, CA|34.06278|-118.44105| 371.00000
L.A. Sky Boutique Hotel|Los Angeles, CA|34.04140|-118.42913| 224.00000
Century Park Hotel|Los Angeles, CA|34.05188|-118.41763| 183.00000
Fairmont Century Plaza|Los Angeles, CA|34.05745|-118.41578| 588.71429
The Beverly Hills Hotel|Los Angeles, CA|34.08171|-118.41380|1468.57143
Waldorf Astoria Beverly Hills|Los Angeles, CA|34.06658|-118.41164|1154.00000
The Peninsula Beverly Hills|Los Angeles, CA|34.06575|-118.41055|1064.65714
The Maybourne Beverly Hills|Los Angeles, CA|34.06777|-118.39892|1213.00000
Mr. C Beverly Hills|Los Angeles, CA|34.05537|-118.39855| 442.14286
Hilton Los Angeles Culver City|Los Angeles, CA|33.98252|-118.39649| 212.00000
L'Ermitage Beverly Hills|Los Angeles, CA|34.07264|-118.39542| 790.85714
Hyatt Regency Los Angeles International Airport|Los Angeles, CA|33.94600|-118.39514| 192.00000
Sheraton Gateway Los Angeles Hotel|Los Angeles, CA|33.94665|-118.39073| 127.00000
Four Seasons Los Angeles at Beverly Hills|Los Angeles, CA|34.07295|-118.38921|1052.14286
The West Hollywood EDITION|Los Angeles, CA|34.09002|-118.38915| 617.00000
Sonesta Los Angeles Airport LAX|Los Angeles, CA|33.94622|-118.38907| 149.13333
Hyatt Place LAX/Century Blvd|Los Angeles, CA|33.94630|-118.38824| 192.00000
Four Points by Sheraton Los Angeles International Airport|Los Angeles, CA|33.94790|-118.38500| 127.00000
Los Angeles Airport Marriott|Los Angeles, CA|33.94669|-118.38436| 150.00000
Hilton Los Angeles Airport|Los Angeles, CA|33.94619|-118.38165| 155.00000
The Westin Los Angeles Airport|Los Angeles, CA|33.94448|-118.37406| 152.00000
La Quinta Inn & Suites by Wyndham LAX|Los Angeles, CA|33.94571|-118.37183| 131.00000
Redondo Beach Inn|Los Angeles, CA|33.89303|-118.36550|  83.00000
Quality Inn & Suites Los Angeles Airport - LAX|Inglewood, CA|33.94493|-118.36455| 174.00000
Del Aire Inn|Los Angeles, CA|33.93067|-118.35713|  89.00000
La Quinta Inn & Suites by Wyndham Inglewood|Inglewood, CA|33.93125|-118.34332| 215.00000
Hollywood Guest Inn|Los Angeles, CA|34.09772|-118.33695| 101.00000
Las Palmas Hotel|Los Angeles, CA|34.10210|-118.33590|  96.00000
Kings Motel Inglewood|Los Angeles, CA|33.93122|-118.33321|  92.00000
PodShare|Los Angeles, CA|34.10075|-118.32896|  80.00000
Hollywood Inn Express South|Los Angeles, CA|34.06781|-118.27002| 106.29412
