league|id|time|date|city|title|full|venue|ven_id|score|lat|long|t1|t2|t3|t4|low|med|high|name|xname
mlb|5789744|07:05 pm|2023-08-01|Pittsburgh, PA|Tigers at Pirates|Detroit Tigers at Pittsburgh Pirates|PNC Park|    10|0.707|40.4472| -80.0064|Pittsburgh Pirates|Detroit Tigers|NA|NA| 25|  55|   265|MLB|MLB Baseball
mlb|5789625|04:10 pm|2023-08-12|Miami, FL|Yankees at Marlins|New York Yankees at Miami Marlins|loanDepot park|  6371|0.799|25.7617| -80.1918|Miami Marlins|New York Yankees|NA|NA| 33| 102| 11644|MLB|MLB Baseball
mlb|5785650|06:15 pm|2023-08-12|Houston, TX|Angels at Astros|Los Angeles Angels at Houston Astros|Minute Maid Park|    20|0.799|29.7562| -95.3557|Houston Astros|Los Angeles Angels|NA|NA| 44| 127|  1079|MLB|MLB Baseball
mlb|5785322|06:10 pm|2023-08-19|Los Angeles, CA|Marlins at Dodgers|Miami Marlins at Los Angeles Dodgers|Dodger Stadium|     1|0.707|34.0718|-118.2460|Los Angeles Dodgers|Miami Marlins|NA|NA| 51| 133|  1761|MLB|MLB Baseball
mlb|5788914|03:07 pm|2023-08-03|Toronto, Canada|Orioles at Blue Jays|Baltimore Orioles at Toronto Blue Jays|Rogers Centre|    17|0.797|43.6422| -79.3909|Toronto Blue Jays|Baltimore Orioles|NA|NA| 17|  59|  4216|MLB|MLB Baseball
mlb|5786220|04:10 pm|2023-08-26|Boston, MA|Dodgers at Red Sox|Los Angeles Dodgers at Boston Red Sox|Fenway Park|    21|0.796|42.3456| -71.0983|Boston Red Sox|Los Angeles Dodgers|NA|NA| 90| 202|  2209|MLB|MLB Baseball
mlb|5785996|07:20 pm|2023-08-16|Atlanta, GA|Yankees at Braves|New York Yankees at Atlanta Braves|Truist Park|418889|0.793|33.8897| -84.4654|Atlanta Braves|New York Yankees|NA|NA| 31|  99|  1430|MLB|MLB Baseball
mlb|5785976|01:05 pm|2023-08-03|Arlington, TX|White Sox at Rangers|Chicago White Sox at Texas Rangers|Globe Life Field|487468|0.793|32.7472| -97.0838|Texas Rangers|Chicago White Sox|NA|NA| 16|  55|   689|MLB|MLB Baseball
mlb|5788848|06:40 pm|2023-08-04|Cincinnati, OH|Nationals at Reds|Washington Nationals at Cincinnati Reds|Great American Ball Park|    26|0.792|39.0974| -84.5071|Cincinnati Reds|Washington Nationals|NA|NA| 24|  65|   305|MLB|MLB Baseball
mlb|5787100|06:40 pm|2023-08-12|Seattle, WA|Orioles at Mariners|Baltimore Orioles at Seattle Mariners|T-Mobile Park|    13|0.792|47.5914|-122.3330|Seattle Mariners|Baltimore Orioles|NA|NA| 33|  69| 24005|MLB|MLB Baseball
mlb|5785498|07:05 pm|2023-08-01|Bronx, NY|Rays at Yankees|Tampa Bay Rays at New York Yankees|Yankee Stadium|     8|0.788|40.8296| -73.9262|New York Yankees|Tampa Bay Rays|NA|NA| 12|  39|  1079|MLB|MLB Baseball
mlb|5785506|07:05 pm|2023-08-02|Bronx, NY|Rays at Yankees|Tampa Bay Rays at New York Yankees|Yankee Stadium|     8|0.787|40.8296| -73.9262|New York Yankees|Tampa Bay Rays|NA|NA| 14|  39|  1039|MLB|MLB Baseball
mlb|5786859|06:15 pm|2023-08-05|St. Louis, MO|Rockies at Cardinals|Colorado Rockies at St. Louis Cardinals|Busch Stadium|    27|0.786|38.6226| -90.1928|St. Louis Cardinals|Colorado Rockies|NA|NA| 15|  49|   695|MLB|MLB Baseball
mlb|5785536|01:05 pm|2023-08-19|Bronx, NY|Red Sox at Yankees|Boston Red Sox at New York Yankees|Yankee Stadium|     8|0.786|40.8296| -73.9262|New York Yankees|Boston Red Sox|NA|NA| 53| 175|  6665|MLB|MLB Baseball
mlb|5785532|07:05 pm|2023-08-18|Bronx, NY|Red Sox at Yankees|Boston Red Sox at New York Yankees|Yankee Stadium|     8|0.786|40.8296| -73.9262|New York Yankees|Boston Red Sox|NA|NA| 52| 147|214749|MLB|MLB Baseball
mlb|5789320|01:07 pm|2023-08-06|Oakland, CA|Giants at Athletics|San Francisco Giants at Oakland Athletics|Oakland Coliseum|    14|0.784|37.7514|-122.2010|Oakland Athletics|San Francisco Giants|NA|NA| 39| 106|   752|MLB|MLB Baseball
mlb|5786218|07:10 pm|2023-08-25|Boston, MA|Dodgers at Red Sox|Los Angeles Dodgers at Boston Red Sox|Fenway Park|    21|0.783|42.3456| -71.0983|Boston Red Sox|Los Angeles Dodgers|NA|NA| 81| 195|  9337|MLB|MLB Baseball
mlb|5785006|07:05 pm|2023-08-03|Chicago, IL|Reds at Cubs|Cincinnati Reds at Chicago Cubs|Wrigley Field|    11|0.780|41.9475| -87.6562|Chicago Cubs|Cincinnati Reds|NA|NA| 21|  58|   587|MLB|MLB Baseball
mlb|5786208|04:10 pm|2023-08-12|Boston, MA|Tigers at Red Sox|Detroit Tigers at Boston Red Sox|Fenway Park|    21|0.778|42.3456| -71.0983|Boston Red Sox|Detroit Tigers|NA|NA| 52| 140|  1804|MLB|MLB Baseball
mlb|5788930|03:07 pm|2023-08-12|Toronto, Canada|Cubs at Blue Jays|Chicago Cubs at Toronto Blue Jays|Rogers Centre|    17|0.778|43.6422| -79.3909|Toronto Blue Jays|Chicago Cubs|NA|NA| 63| 152|  2015|MLB|MLB Baseball
mlb|5785286|06:10 pm|2023-08-12|Los Angeles, CA|Rockies at Dodgers|Colorado Rockies at Los Angeles Dodgers|Dodger Stadium|     1|0.778|34.0718|-118.2460|Los Angeles Dodgers|Colorado Rockies|NA|NA| 59| 114|  1155|MLB|MLB Baseball
mlb|5786030|07:05 pm|2023-09-06|Arlington, TX|Astros at Rangers|Houston Astros at Texas Rangers|Globe Life Field|487468|0.630|32.7472| -97.0838|Texas Rangers|Houston Astros|NA|NA| 25|  63|  9407|MLB|MLB Baseball
mlb|5785648|07:10 pm|2023-08-11|Houston, TX|Angels at Astros|Los Angeles Angels at Houston Astros|Minute Maid Park|    20|0.773|29.7562| -95.3557|Houston Astros|Los Angeles Angels|NA|NA| 42| 104|   599|MLB|MLB Baseball
mlb|5785542|01:35 pm|2023-08-20|Bronx, NY|Red Sox at Yankees|Boston Red Sox at New York Yankees|Yankee Stadium|     8|0.773|40.8296| -73.9262|New York Yankees|Boston Red Sox|NA|NA| 50| 138|  6665|MLB|MLB Baseball
