league|time|date|city|title|full|venue|ven_id|score|lat|long|t1|t2|t3|t4|low|med|high|name|xname|id
ncaa_football|03:30 am|2022-11-26|Harrisonburg, VA|Coastal Carolina at James Madison|Coastal Carolina Chanticleers at James Madison Dukes Football|Bridgeforth Stadium|  6029|0.670|38.4353| -78.8729|James Madison Dukes Football|Coastal Carolina Chanticleers Football|NA|NA| 54|  71|   249|NCAA FB|College Football| 298
ncaa_football|12:00 pm|2022-11-12|Worcester, MA|Bryant at Holy Cross|Bryant Bulldogs at Holy Cross Crusaders Football|Fitton Field| 50817|0.475|42.2416| -71.8099|Holy Cross Crusaders Football|Bryant Bulldogs Football|NA|NA| 29|  32|    60|NCAA FB|College Football| 299
ncaa_football|07:00 pm|2022-11-22|Oxford, OH|Ball State at Miami (OH)|Ball State Cardinals at Miami RedHawks Football|Yager Stadium|  2812|0.376|39.5173| -84.7346|Miami (OH) Redhawks Football|Ball State Cardinals Football|NA|NA| 29|  61|    98|NCAA FB|College Football| 300
ncaa_football|12:00 pm|2022-11-12|Durham, NC|Virginia Tech at Duke|Virginia Tech Hokies at Duke Blue Devils Football|Wallace Wade Stadium|  2764|0.706|35.9150| -78.9137|Duke Blue Devils Football|Virginia Tech Hokies Football|NA|NA| 36|  71|   185|NCAA FB|College Football| 301
ncaa_football|01:00 pm|2022-11-19|Cheney, WA|Northern Colorado at Eastern Washington|Northern Colorado Bears at Eastern Washington Eagles Football|Roos Field|  3724|0.522|47.4927|-117.5880|Eastern Washington Eagles Football|Northern Colorado Bears Football|NA|NA| 28|  46|   143|NCAA FB|College Football| 302
ncaa_football|01:30 pm|2022-11-25|Berkeley, CA|UCLA at California|UCLA Bruins at California Golden Bears Football|FTX Field at California Memorial Stadium|  2769|0.788|37.8710|-122.2510|California Golden Bears Football|UCLA Bruins Football|NA|NA| 39|  79|   267|NCAA FB|College Football| 303
ncaa_football|06:00 pm|2022-11-19|Seattle, WA|Colorado at Washington|Colorado Buffaloes at Washington Huskies Football|Husky Stadium|  2813|0.788|47.6498|-122.3020|Washington Huskies Football|Colorado Buffaloes Football|NA|NA| 34|  83|   421|NCAA FB|College Football| 304
ncaa_football|12:00 pm|2022-11-19|Tucson, AZ|Washington State at Arizona|Washington State Cougars at Arizona Wildcats Football|Arizona Stadium|  2809|0.710|32.2298|-110.9460|Arizona Wildcats Football|Washington State Cougars Football|NA|NA| 12|  24|   561|NCAA FB|College Football| 305
ncaa_football|03:30 am|2022-11-26|Evanston, IL|Illinois at Northwestern|Illinois Fighting Illini at Northwestern Wildcats Football|Ryan Field|  2793|0.748|42.0641| -87.6926|Northwestern Wildcats Football|Illinois Fighting Illini Football|NA|NA| 68| 106|   387|NCAA FB|College Football| 306
ncaa_football|12:00 pm|2022-11-19|Birmingham, AL|Mercer at Samford|Mercer Bears at Samford Bulldogs Football|Seibert Stadium|  6028|0.542|33.4613| -86.7942|Samford Bulldogs Football|Mercer Bears Football|NA|NA| 36|  60|    76|NCAA FB|College Football| 307
ncaa_football|04:00 pm|2022-11-12|Nashville, TN|UT Martin at Tennessee State|UT Martin Skyhawks at Tennessee State Tigers Football|Nissan Stadium|  1126|0.554|36.1661| -86.7721|Tennessee State Tigers Football|UT Martin Skyhawks Football|NA|NA| 36|  40|   283|NCAA FB|College Football| 308
ncaa_football|02:30 pm|2022-11-12|Stillwater, OK|Iowa State at Oklahoma State|Iowa State Cyclones at Oklahoma State Cowboys Football|Boone Pickens Stadium|  2785|0.774|36.1256| -97.0665|Oklahoma State Cowboys Football|Iowa State Cyclones Football|NA|NA| 38|  58|   440|NCAA FB|College Football| 309
ncaa_football|03:30 am|2022-11-26|Buffalo, NY|Kent State at Buffalo|Kent State Golden Flashes at Buffalo Bulls Football|UB Stadium| 47725|0.352|43.0005| -78.7800|Buffalo Bulls Football|Kent State Golden Flashes Football|NA|NA| 51|  65|    84|NCAA FB|College Football| 310
